tradingsymbol,instrument_key
HDFCBANK,INE040A01034
ICICIBANK,INE090A01021
KOTAKBANK,INE237A01028
AXISBANK,INE238A01034
SBIN,INE062A01020
INDUSIND,INE095A01012
BANKBARODA,INE028A01039
FEDERALBNK,INE171A01029
AUBANK,INE949L01017
PNB,INE160A01022
IDFC,INE043D01016
BAJFINANCE,INE296A01024
BAJAJFINSV,INE918I01026
SHRIRAMFIN,INE721A01013
PFC,INE134E01011
RECLTD,INE020B01018
INFY,INE009A01021
TCS,INE467B01029
HCLTECH,INE860A01027
TECHM,INE669C01036
WIPRO,INE075A01022
LTIM,INE214T01019
PERSISTENT,INE262H01021
COFORGE,INE591G01017
LTTS,INE010V01017
MPHASIS,INE356A01018
M&M,INE101A01026
MARUTI,INE585B01010
TATAMOTORS,INE155A01022
BAJAJ-AUTO,INE917I01010
EICHERMOT,INE066A01021
HEROMOTO,INE158A01026
TVSMOTOR,INE494B01023
MSUMI,INE0FS801015
ASHOKLEY,INE208A01029
BHARATFORG,INE465A01025
BALKRISHNA,INE875R01011
RELIANCE,INE002A01018
NTPC,INE733E01010
POWERGRID,INE752E01010
ONGC,INE213A01029
BPCL,INE029A01011
COALINDIA,INE522F01014
TATAPOWER,INE245A01021
IOC,INE242A01010
ADANIGREEN,INE364U01010
ITC,INE154A01025
HINDUNILVR,INE030A01027
NESTLEIND,INE239A01024
TATACONSUM,INE192A01025
BRITANNIA,INE216A01030
VBL,INE200M01021
GODREJCP,INE102D01028
COLPAL,INE259A01022
UNITDSPR,INE854D01024
DABUR,INE016A01026
MARICO,INE196A01026
TATASTEEL,INE081A01020
ADANIENT,INE423A01024
JSWSTEEL,INE019A01038
HINDALCO,INE038A01020
VEDANTA,INE205A01025
JINDALSTEL,INE749A01030
JSL,INE220G01021
NMDC,INE584A01023
APLAPOLLO,INE702C01027
SAIL,INE114A01011
NATIONALUM,INE139A01034
SUNPHARMA,INE044A01036
DRREDDY,INE089A01023
CIPLA,INE059A01026
DIVISLAB,INE361B01024
LUPIN,INE326A01037
AUROPHARMA,INE406A01037
GLENMARK,INE935A01035
TORNTPHARM,INE685A01028
ALKEM,INE540L01014
ZYDUSLIFE,INE010B01027
IPCALAB,INE571A01038
LT,INE018A01030
BHARTIARTL,INE397D01024
ULTRACEMCO,INE481G01011
ADANIPORTS,INE742F01042
GRASIM,INE047A01021
